date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:52:18	406191/406191	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Mar%202016%2006:44:32%20GMT	https://en.wikipedia.org/wiki/Maine	/Users/imben/Code/Wikipedia_Brief/en.wikipedia.org/wiki/Maine.html	(from https://en.wikipedia.org/wiki/Main_Page)
10:52:18	139699/139699	---M-Z	200	added ('OK')	text/html	date:Sun,%2028%20Feb%202016%2014:08:06%20GMT	https://en.wikipedia.org/wiki/Plant_pathologist	/Users/imben/Code/Wikipedia_Brief/en.wikipedia.org/wiki/Plant_pathologist.html	(from https://en.wikipedia.org/wiki/Main_Page)
10:52:18	236682/236682	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2018:35:19%20GMT	https://en.wikipedia.org/wiki/Big_Bash_League	/Users/imben/Code/Wikipedia_Brief/en.wikipedia.org/wiki/Big_Bash_League.html	(from https://en.wikipedia.org/wiki/Main_Page)
10:52:18	234469/234469	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2023:37:26%20GMT	https://en.wikipedia.org/wiki/Mount_Fuji	/Users/imben/Code/Wikipedia_Brief/en.wikipedia.org/wiki/Mount_Fuji.html	(from https://en.wikipedia.org/wiki/Main_Page)
10:52:19	66417/66417	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Mar%202016%2005:59:26%20GMT	https://en.wikipedia.org/wiki/Penile_injury	/Users/imben/Code/Wikipedia_Brief/en.wikipedia.org/wiki/Penile_injury.html	(from https://en.wikipedia.org/wiki/Main_Page)
10:52:19	175138/175138	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Mar%202016%2000:00:21%20GMT	https://en.wikipedia.org/wiki/Wikipedia:Recent_additions	/Users/imben/Code/Wikipedia_Brief/en.wikipedia.org/wiki/Wikipedia_Recent_additions.html	(from https://en.wikipedia.org/wiki/Main_Page)
10:52:19	114009/114009	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2004:49:01%20GMT	https://en.wikipedia.org/wiki/Wikipedia:Your_first_article	/Users/imben/Code/Wikipedia_Brief/en.wikipedia.org/wiki/Wikipedia_Your_first_article.html	(from https://en.wikipedia.org/wiki/Main_Page)
10:52:20	65917/65917	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Mar%202016%2010:52:19%20GMT	https://en.wikipedia.org/wiki/File:Total_Solar_Eclipse,_9_March_2016,_from_Balikpapan,_East_Kalimantan,_Indonesia.JPG	/Users/imben/Code/Wikipedia_Brief/en.wikipedia.org/wiki/File_Total_Solar_Eclipse,_9_March_2016,_from_Balikpapan,_East_Kalimantan,_Indonesia.html	(from https://en.wikipedia.org/wiki/Main_Page)
10:52:20	108422/108422	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2023:37:26%20GMT	https://en.wikipedia.org/wiki/Balikpapan	/Users/imben/Code/Wikipedia_Brief/en.wikipedia.org/wiki/Balikpapan.html	(from https://en.wikipedia.org/wiki/Main_Page)
10:52:20	78501/78501	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Mar%202016%2010:48:37%20GMT	https://en.wikipedia.org/wiki/March_2016_Ankara_bombing	/Users/imben/Code/Wikipedia_Brief/en.wikipedia.org/wiki/March_2016_Ankara_bombing.html	(from https://en.wikipedia.org/wiki/Main_Page)
10:52:21	1028559/1028559	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Mar%202016%2009:19:29%20GMT	https://en.wikipedia.org/wiki/Template_talk:Did_you_know	/Users/imben/Code/Wikipedia_Brief/en.wikipedia.org/wiki/Template_talk_Did_you_know.html	(from https://en.wikipedia.org/wiki/Main_Page)
10:52:21	55726/55726	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Mar%202016%2010:45:54%20GMT	https://en.wikipedia.org/wiki/2016_Grand-Bassam_shootings	/Users/imben/Code/Wikipedia_Brief/en.wikipedia.org/wiki/2016_Grand-Bassam_shootings.html	(from https://en.wikipedia.org/wiki/Main_Page)
10:52:21	49873/49873	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Mar%202016%2010:46:28%20GMT	https://en.wikipedia.org/wiki/Grand-Bassam	/Users/imben/Code/Wikipedia_Brief/en.wikipedia.org/wiki/Grand-Bassam.html	(from https://en.wikipedia.org/wiki/Main_Page)
10:52:21	422096/422096	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Mar%202016%2000:48:13%20GMT	https://en.wikipedia.org/wiki/Ankara	/Users/imben/Code/Wikipedia_Brief/en.wikipedia.org/wiki/Ankara.html	(from https://en.wikipedia.org/wiki/Main_Page)
